"Capture_Date","Individual_Band","Unit","Nest","Sex","bleed.type","sample.no","rxn.rep","dilution","bleed.time","spin.time","challenge.time","positive.1","positive.2","rep1","rep2","flag","avg.pos","rxn","spin.lat","challenge.lat","spin.chal.lat","bk","bkc"
2019-05-27,278172100,1,437,"F","S","BK19014",1,0.25,07:50:00,11:59:00,13:08:00,102,102,93,93,NA,102,"BK19014-0.25-1",249,69,318,0.911764705882353,0.0882352941176471
2019-05-27,262125490,1,311,"F","S","BK19015",1,0.25,08:30:00,11:59:00,13:08:00,102,102,58,58,NA,102,"BK19015-0.25-1",209,69,278,0.568627450980392,0.431372549019608
2019-05-28,278172225,1,433,"F","S","BK19018",1,0.25,09:54:00,NA,12:15:00,90,90,15,3,NA,90,"BK19018-0.25-1",NA,NA,141,0.1,0.9
2019-05-29,278172149,2,109,"F","B","BK19020",1,0.25,07:14:00,NA,12:39:00,132,129,48,48,NA,130.5,"BK19020-0.25-1",NA,NA,325,0.367816091954023,0.632183908045977
2019-05-29,278172149,2,109,"F","B","BK19020",2,0.25,07:14:00,NA,12:39:00,132,129,39,39,NA,130.5,"BK19020-0.25-2",NA,NA,325,0.298850574712644,0.701149425287356
2019-05-29,278172150,2,80,"F","B","BK19021",1,0.25,07:17:00,NA,12:39:00,132,129,129,129,NA,130.5,"BK19021-0.25-1",NA,NA,322,0.988505747126437,0.0114942528735632
2019-05-29,278172150,2,80,"F","B","BK19021",2,0.25,07:17:00,NA,12:39:00,132,129,139,139,NA,130.5,"BK19021-0.25-2",NA,NA,322,1.06513409961686,-0.0651340996168583
2019-05-29,272107284,2,19,"F","B","BK19022",1,0.25,08:33:00,NA,12:39:00,132,129,46,46,NA,130.5,"BK19022-0.25-1",NA,NA,246,0.352490421455939,0.647509578544061
2019-05-29,272107284,2,19,"F","B","BK19022",2,0.25,08:33:00,NA,12:39:00,132,129,32,32,NA,130.5,"BK19022-0.25-2",NA,NA,246,0.245210727969349,0.754789272030651
2019-05-29,281128402,2,20,"F","B","BK19023",1,0.25,07:12:00,NA,12:39:00,132,129,57,57,NA,130.5,"BK19023-0.25-1",NA,NA,327,0.436781609195402,0.563218390804598
2019-05-29,281128402,2,20,"F","B","BK19023",2,0.25,07:12:00,NA,12:39:00,132,129,35,35,NA,130.5,"BK19023-0.25-2",NA,NA,327,0.268199233716475,0.731800766283525
2019-05-29,281128402,2,20,"F","B","BK19024",1,0.25,07:12:00,NA,12:39:00,132,129,60,60,NA,130.5,"BK19024-0.25-1",NA,NA,327,0.459770114942529,0.540229885057471
