daycombo,unitbox,yday,year,f_rfid,m_rfid,Offset,Limit,FemFeed,MalFeed,FemTotal,MalTotal
1_105-155,1_105,155,2019,04198E9F39,04195A5B3C,1,136.5,153,NA,444,NA
1_105-156,1_105,156,2019,04198E9F39,04195A5B3C,2,136.5,148,NA,451,NA
1_105-157,1_105,157,2019,04198E9F39,04195A5B3C,3,136.5,149,NA,339,NA
1_105-158,1_105,158,2019,04198E9F39,04195A5B3C,4,55.5,199,NA,476,NA
1_105-159,1_105,159,2019,04198E9F39,04195A5B3C,5,55.5,188,NA,718,NA
1_105-160,1_105,160,2019,04198E9F39,04195A5B3C,6,55.5,137,NA,453,NA
1_105-161,1_105,161,2019,04198E9F39,04195A5B3C,7,36.5,116,NA,271,NA
1_105-162,1_105,162,2019,04198E9F39,04195A5B3C,8,36.5,186,NA,368,NA
1_105-163,1_105,163,2019,04198E9F39,04195A5B3C,9,36.5,170,NA,467,NA
1_105-164,1_105,164,2019,04198E9F39,04195A5B3C,10,20,52,NA,141,NA
1_105-165,1_105,165,2019,04198E9F39,04195A5B3C,11,20,159,NA,387,NA
1_105-166,1_105,166,2019,04198E9F39,04195A5B3C,12,20,155,NA,401,NA
1_105-167,1_105,167,2019,04198E9F39,04195A5B3C,13,11,106,NA,347,NA
1_105-168,1_105,168,2019,04198E9F39,04195A5B3C,14,11,252,NA,710,NA
1_105-169,1_105,169,2019,04198E9F39,04195A5B3C,15,11,226,NA,723,NA
1_105-170,1_105,170,2019,04198E9F39,04195A5B3C,16,25.5,201,NA,757,NA
1_105-171,1_105,171,2019,04198E9F39,04195A5B3C,17,25.5,154,NA,501,NA
1_105-172,1_105,172,2019,04198E9F39,04195A5B3C,18,25.5,222,NA,640,NA
1_105-173,1_105,173,2019,04198E9F39,04195A5B3C,19,NA,NA,NA,330,NA
1_47-156,1_47,156,2019,04195A3909,04195A3D53,1,136.5,162,63,1810,2142
1_47-157,1_47,157,2019,04195A3909,04195A3D53,2,136.5,159,85,965,2438
1_47-158,1_47,158,2019,04195A3909,04195A3D53,3,136.5,161,124,1626,1290
1_47-159,1_47,159,2019,04195A3909,04195A3D53,4,55.5,231,152,2496,1099
1_47-160,1_47,160,2019,04195A3909,04195A3D53,5,55.5,185,174,1208,696
1_47-161,1_47,161,2019,04195A3909,04195A3D53,6,55.5,29,101,78,277
1_47-162,1_47,162,2019,04195A3909,04195A3D53,7,36.5,126,179,534,493
1_47-163,1_47,163,2019,04195A3909,04195A3D53,8,36.5,197,209,610,657
1_47-164,1_47,164,2019,04195A3909,04195A3D53,9,36.5,58,68,197,214
1_47-165,1_47,165,2019,04195A3909,04195A3D53,10,20,124,110,430,389
1_47-166,1_47,166,2019,04195A3909,04195A3D53,11,20,179,208,420,615
1_47-167,1_47,167,2019,04195A3909,04195A3D53,12,20,27,68,60,241
1_47-168,1_47,168,2019,04195A3909,04195A3D53,13,11,NA,218,NA,805
1_47-169,1_47,169,2019,04195A3909,04195A3D53,14,11,NA,131,NA,635
1_47-170,1_47,170,2019,04195A3909,04195A3D53,15,11,NA,119,NA,784
1_47-171,1_47,171,2019,04195A3909,04195A3D53,16,25.5,NA,47,NA,228
1_47-172,1_47,172,2019,04195A3909,04195A3D53,17,25.5,NA,10,NA,184
1_58-162,1_58,162,2019,04198E725D,04179377F7,1,136.5,142,NA,414,NA
1_58-163,1_58,163,2019,04198E725D,04179377F7,2,136.5,143,NA,506,NA
1_58-164,1_58,164,2019,04198E725D,04179377F7,3,136.5,81,NA,173,NA
1_58-165,1_58,165,2019,04198E725D,04179377F7,4,55.5,150,NA,197,NA
1_58-166,1_58,166,2019,04198E725D,04179377F7,5,55.5,198,NA,291,NA
1_58-167,1_58,167,2019,04198E725D,04179377F7,6,55.5,118,NA,310,NA
1_58-168,1_58,168,2019,04198E725D,04179377F7,7,36.5,168,107,511,248
1_58-169,1_58,169,2019,04198E725D,04179377F7,8,36.5,175,112,448,241
1_58-170,1_58,170,2019,04198E725D,04179377F7,9,36.5,221,103,663,249
1_58-171,1_58,171,2019,04198E725D,04179377F7,10,20,135,77,468,146
1_58-172,1_58,172,2019,04198E725D,04179377F7,11,20,191,118,554,226
1_58-173,1_58,173,2019,04198E725D,04179377F7,12,20,199,153,799,365
1_58-174,1_58,174,2019,04198E725D,04179377F7,13,11,158,135,516,251
1_58-175,1_58,175,2019,04198E725D,04179377F7,14,11,135,102,437,186
1_58-176,1_58,176,2019,04198E725D,04179377F7,15,11,94,84,562,160
1_58-177,1_58,177,2019,04198E725D,04179377F7,16,25.5,119,119,578,233
1_58-178,1_58,178,2019,04198E725D,04179377F7,17,25.5,132,90,928,204
1_58-179,1_58,179,2019,04198E725D,04179377F7,18,25.5,94,78,287,171
1_58-180,1_58,180,2019,04198E725D,04179377F7,19,NA,NA,NA,347,61
1_58-181,1_58,181,2019,04198E725D,04179377F7,20,NA,NA,NA,81,67
1_58-182,1_58,182,2019,04198E725D,04179377F7,21,NA,NA,NA,66,29
1_58-183,1_58,183,2019,04198E725D,04179377F7,22,NA,NA,NA,36,7
1_58-184,1_58,184,2019,04198E725D,04179377F7,23,NA,NA,NA,NA,6
1_65-161,1_65,161,2019,04198E3B94,,1,136.5,107,NA,465,NA
1_65-162,1_65,162,2019,04198E3B94,,2,136.5,118,NA,382,NA
1_65-163,1_65,163,2019,04198E3B94,,3,136.5,142,NA,770,NA
1_65-164,1_65,164,2019,04198E3B94,,4,55.5,40,NA,116,NA
1_81-156,1_81,156,2019,04198E3A62,04195A2012,1,136.5,127,56,1055,374
1_81-157,1_81,157,2019,04198E3A62,04195A2012,2,136.5,120,67,389,313
1_81-158,1_81,158,2019,04198E3A62,04195A2012,3,136.5,147,90,1016,490
1_81-159,1_81,159,2019,04198E3A62,04195A2012,4,55.5,235,128,2037,439
1_81-160,1_81,160,2019,04198E3A62,04195A2012,5,55.5,203,141,574,449
1_81-161,1_81,161,2019,04198E3A62,04195A2012,6,55.5,116,61,254,199
1_81-162,1_81,162,2019,04198E3A62,04195A2012,7,36.5,215,159,344,381
1_81-163,1_81,163,2019,04198E3A62,04195A2012,8,36.5,258,178,410,504
1_81-164,1_81,164,2019,04198E3A62,04195A2012,9,36.5,103,63,174,150
1_81-165,1_81,165,2019,04198E3A62,04195A2012,10,20,192,165,398,328
1_81-166,1_81,166,2019,04198E3A62,04195A2012,11,20,264,182,524,408
1_81-167,1_81,167,2019,04198E3A62,04195A2012,12,20,33,60,72,180
1_81-168,1_81,168,2019,04198E3A62,04195A2012,13,11,285,267,500,586
1_81-169,1_81,169,2019,04198E3A62,04195A2012,14,11,199,187,379,460
1_81-170,1_81,170,2019,04198E3A62,04195A2012,15,11,185,222,530,561
1_81-171,1_81,171,2019,04198E3A62,04195A2012,16,25.5,129,100,466,384
1_81-173,1_81,173,2019,04198E3A62,04195A2012,18,25.5,36,54,161,160
1_81-174,1_81,174,2019,04198E3A62,04195A2012,19,NA,NA,NA,517,456
1_81-175,1_81,175,2019,04198E3A62,04195A2012,20,NA,NA,NA,140,113
1_83-166,1_83,166,2019,04198E7978,04198E36A4,1,136.5,120,NA,181,NA
1_83-167,1_83,167,2019,04198E7978,04198E36A4,2,136.5,35,NA,63,NA
1_83-168,1_83,168,2019,04198E7978,04198E36A4,3,136.5,9,NA,13,NA
1_83-169,1_83,169,2019,04198E7978,04198E36A4,4,55.5,136,NA,346,NA
1_83-170,1_83,170,2019,04198E7978,04198E36A4,5,55.5,197,NA,475,NA
1_83-171,1_83,171,2019,04198E7978,04198E36A4,6,55.5,158,NA,258,NA
1_83-172,1_83,172,2019,04198E7978,04198E36A4,7,36.5,19,1,41,59
1_86-162,1_86,162,2019,04198E29B8,041917B329,1,136.5,118,90,242,229
