Individual_Band,Site,Nest,Sex,Experiment,Treatment,Capture_Date,Age,Mass,Bill+Head,Flat_Wing,bk,Bacteria_Killing_Assay,positive,bka_date,Plasma_Analyzed,Attempt_Number,Clutch_Initiation_Date,Clutch_Size,Brood_Size_Hatching,Day6_Brood_Mass,Nest_Fate_Date,Nest_Fate,.fledged,ylaydate,Treatment2,Nestling_Band,Nestling_Banding_Date,Current_Brood_Size,Nestling_Mass,Nestling_Flat_Wing,Genetic_Mom,Genetic_Dad,Nestling_Fate,Adult_or_Nestling,temp,Unit_Box
88004570,Unit_2,121,F,Color_Stressor,Control_,2019-05-22,ASY,22.5,28.9,119,NA,NA,NA,NA,NA,1,2019-05-12,4,1,8,2019-06-24,Fledged,1,132,Control_Dull,278171895,2019-06-12,1,18,46,NA,NA,Fledged,Nestling,17.1903935187604,Unit_2_121
88004749,Unit_1,380,F,Water,Water,2019-05-24,ASY,22.75,29.2,121,NA,NA,NA,NA,NA,1,2019-05-11,6,6,NA,2019-06-24,Fledged,6,131,Water,278172246,2019-06-12,6,24,62,NA,NA,Fledged,Nestling,17.1903935187604,Unit_1_380
88004749,Unit_1,380,F,Water,Water,2019-05-24,ASY,22.75,29.2,121,NA,NA,NA,NA,NA,1,2019-05-11,6,6,NA,2019-06-24,Fledged,6,131,Water,278172247,2019-06-12,6,24,51,NA,NA,Fledged,Nestling,17.1903935187604,Unit_1_380
88004749,Unit_1,380,F,Water,Water,2019-05-24,ASY,22.75,29.2,121,NA,NA,NA,NA,NA,1,2019-05-11,6,6,NA,2019-06-24,Fledged,6,131,Water,278172248,2019-06-12,6,23.25,59,NA,NA,Fledged,Nestling,17.1903935187604,Unit_1_380
88004749,Unit_1,380,F,Water,Water,2019-05-24,ASY,22.75,29.2,121,NA,NA,NA,NA,NA,1,2019-05-11,6,6,NA,2019-06-24,Fledged,6,131,Water,278172249,2019-06-12,6,21.5,60,NA,NA,Fledged,Nestling,17.1903935187604,Unit_1_380
88004749,Unit_1,380,F,Water,Water,2019-05-24,ASY,22.75,29.2,121,NA,NA,NA,NA,NA,1,2019-05-11,6,6,NA,2019-06-24,Fledged,6,131,Water,278172250,2019-06-12,6,23.75,58,NA,NA,Fledged,Nestling,17.1903935187604,Unit_1_380
88004749,Unit_1,380,F,Water,Water,2019-05-24,ASY,22.75,29.2,121,NA,NA,NA,NA,NA,1,2019-05-11,6,6,NA,2019-06-24,Fledged,6,131,Water,278172251,2019-06-12,6,23,61,NA,NA,Fledged,Nestling,17.1903935187604,Unit_1_380
88004754,Unit_2,29,F,Color_Stressor,Predator,2019-05-28,ASY,23.5,28.1,120,0.764214046822743,0.235785953177257,299,2019-06-03,Base/2nd,1,2019-05-12,6,3,36,2019-06-30,Fledged,3,132,Predator_Dull,281128748,2019-06-18,3,20.5,41,NA,NA,Fledged,Nestling,16.0532407408385,Unit_2_29
88004754,Unit_2,29,F,Color_Stressor,Predator,2019-05-28,ASY,23.5,28.1,120,0.764214046822743,0.235785953177257,299,2019-06-03,Base/2nd,1,2019-05-12,6,3,36,2019-06-30,Fledged,3,132,Predator_Dull,281128749,2019-06-18,3,22,45,NA,NA,Fledged,Nestling,16.0532407408385,Unit_2_29
88004754,Unit_2,29,F,Color_Stressor,Predator,2019-05-28,ASY,23.5,28.1,120,0.764214046822743,0.235785953177257,299,2019-06-03,Base/2nd,1,2019-05-12,6,3,36,2019-06-30,Fledged,3,132,Predator_Dull,281128750,2019-06-18,3,21,38.5,NA,NA,Fledged,Nestling,16.0532407408385,Unit_2_29
