"hourcombo","unitbox","yday","year","f_rfid","m_rfid","Offset","Limit","Hour","FemFeed","MalFeed","FemTotal","MalTotal","dayhour","Offhour","date","temp","dew","wdir","wspeed","wgust","statpress","skycov","vis","weather","prec","prec_x","Individual_Band","Experiment","Treatment","f_age","jlaydate","Nest_Fate","Nest_Fate_Date",".fledged","Clutch_Size","Brood_Size_Hatching","Day6_Brood_Mass","Brood_Size_Day6","bk","bkc","positive","bka_date","Plasma_Analyzed"
"1_105-155-5","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,5,3,NA,12,NA,"155-5","1-5",2019-06-04,2.777777778,37,"calm",0,0,736.092,0,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-6","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,6,8,NA,45,NA,"155-6","1-6",2019-06-04,7.777777778,43,"calm",0,0,736.346,0.5,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-7","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,7,10,NA,25,NA,"155-7","1-7",2019-06-04,10,40,"Vrb",3.5,0,736.6,0,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-8","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,8,10,NA,15,NA,"155-8","1-8",2019-06-04,12.22222222,41,"Vrb",6.9,0,736.6,0,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-9","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,9,9,NA,26,NA,"155-9","1-9",2019-06-04,13.88888889,41,"Vrb",5.8,0,736.346,0,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-10","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,10,11,NA,31,NA,"155-10","1-10",2019-06-04,15.55555556,42,"WSW",10.4,0,736.092,0.5,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-11","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,11,12,NA,42,NA,"155-11","1-11",2019-06-04,17.22222222,43,"WNW",6.9,0,735.33,0.8,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-12","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,12,13,NA,22,NA,"155-12","1-12",2019-06-04,16.11111111,43,"WNW",6.9,0,735.076,1,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-13","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,13,10,NA,29,NA,"155-13","1-13",2019-06-04,17.77777778,44,"SW",5.8,0,734.314,0.8,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-14","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,14,7,NA,16,NA,"155-14","1-14",2019-06-04,17.77777778,43,"WSW",11.5,0,734.06,0.5,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-15","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,15,11,NA,41,NA,"155-15","1-15",2019-06-04,16.11111111,46,"W",4.6,0,733.806,1,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-16","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,16,9,NA,23,NA,"155-16","1-16",2019-06-04,16.11111111,45,"W",3.5,0,733.298,1,10,"clear",0.0127,"<0.0254","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-17","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,17,11,NA,34,NA,"155-17","1-17",2019-06-04,17.22222222,45,"calm",0,0,732.536,0.8,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-18","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,18,12,NA,38,NA,"155-18","1-18",2019-06-04,17.22222222,46,"E",3.5,0,732.282,0.8,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
"1_105-155-19","1_105",155,2019,"04198E9F39","04195A5B3C",1,136.5,19,12,NA,25,NA,"155-19","1-19",2019-06-04,15.55555556,47,"SE",5.8,0,731.774,1,10,"clear",0,"0","281128701","Color_Stressor","Predator_Dull","SY",135,"Fledged",2019-06-28,4,5,5,65,5,0.151745068285281,0.848254931714719,329.5,2019-06-02,"Base/2nd"
